"Merge","Name","Base","right","left","a_mergeDate","c_mergeDate","a_baseDate","c_baseDate","a_rightDate","c_rightDate","a_leftDate","c_leftDate","rightFiles","rightAdditions","rightRemovals","leftFiles","leftAdditions","leftRemovals","nCommitsRight","authorsRight","nCommitsLeft","authorsLeft","conflict","bug"
"74c4bdfeb03f2119e01a439cc86e384ddd2bfcde","hive","e38f6e12428bf543d5539502d4389fa55b0e3634","055ed8dc679d0f59645f2cf1b118ab125e24d4f5","16bee81699a65859b068d21ebe19b4e93e7dd78f","2015-01-23 19:59:11 +0000","2015-01-23 19:59:11 +0000","2015-01-06 01:18:53 +0000","2015-01-06 01:18:53 +0000","2015-01-20 22:34:01 +0000","2015-01-20 22:34:01 +0000","2015-01-20 22:34:01 +0000","2015-01-20 22:34:01 +0000",85,6354,193,1295,414389,7952,17,3,428,15,1,1
"329be9940b93c57e5d5a783b025f77a2fae913f6","phoenix","65ac0ca34623c6ba69858a9c29dc78c11c46acfb","52a57b5e452c1da13c3fbc3268974a61ed76037a","240f89ef08fecc16dbf38afc99bd7743432090f6","2014-03-09 19:17:40 -0700","2014-03-09 19:17:40 -0700","2014-03-08 17:25:54 -0800","2014-03-08 17:25:54 -0800","2014-03-09 00:50:44 -0800","2014-03-09 00:50:44 -0800","2014-03-09 00:50:44 -0800","2014-03-09 00:50:44 -0800",150,20530,3520,46,642,465,27,2,9,1,2,1
"ccb63a31cb5f9003221341bad592080918627565","hive","16bee81699a65859b068d21ebe19b4e93e7dd78f","bc72f61df13271641aaf37f34fc88dda511c74c4","c87f25e1634b1bb61f517ed98b6983fecadf7292","2015-02-07 05:25:21 +0000","2015-02-07 05:25:21 +0000","2015-01-23 06:22:49 +0000","2015-01-23 06:22:49 +0000","2015-02-07 02:53:41 +0000","2015-02-07 02:53:41 +0000","2015-02-07 02:53:41 +0000","2015-02-07 02:53:41 +0000",131,13171,545,1144,61450,28221,32,4,101,16,5,1
"8c6590b61927ae7ff858d4c3691032e26de13dd9","ambari","929ac2eaf4261bf61d0d4ad9c1bbd8794808bd33","903a3dee897a6c9f121429a0db9c0db79b0f0ee5","0aa22ea8d1482415c85178118d54081dc9e0a0c6","2018-02-16 14:51:30 +0200","2018-02-16 14:51:30 +0200","2018-02-09 22:13:42 +0100","2018-02-09 22:13:42 +0100","2018-02-15 17:14:55 +0200","2018-02-16 12:55:50 +0200","2018-02-15 17:14:55 +0200","2018-02-16 12:55:50 +0200",260,5119,5627,946,52785,11080,52,28,370,49,8,1
"be73d167a1c3da3053059727e1f6f88d8d624744","ambari","b7d5ef70afec253f4269ac8a6073c1d5a4164968","a670750c39b55178eb9971a24128d5f0e72534c2","9d802b7c11a62336fd4de8aa2695af02b061c625","2017-09-28 16:23:29 +0300","2017-09-28 16:23:29 +0300","2017-03-27 15:16:00 +0530","2017-03-27 15:16:00 +0530","2017-09-26 11:42:33 +0300","2017-09-26 11:42:33 +0300","2017-09-26 11:42:33 +0300","2017-09-26 11:42:33 +0300",3575,81654,228222,6731,424333,594592,283,46,1314,63,917,1
"913f23dd4cf14999be5d068b1f49a0c1407d60a4","groovy","a18996f473969ab0088e3a2d487923f3aa3a6b69","2791a111fb940141c0d4d185c0d45b925af7a2d7","f1cf3c6d0b4095ec01eabbcf0943817fb02f0847","2012-05-18 14:40:31 +1000","2012-05-18 14:40:31 +1000","2012-05-12 17:16:09 +1000","2012-05-12 17:16:09 +1000","2012-05-14 17:27:25 +0200","2012-05-14 17:27:25 +0200","2012-05-14 17:27:25 +0200","2012-05-14 17:27:25 +0200",631,20924,17828,8,170,131,83,3,3,3,1,1
"4f86352904623e2ce0b3bac7768b074a95604432","groovy","31f4f99c0020dca4f86f98289ffe15f9a50f0dfb","efa8df6e64d35138e4e909299d59d6059648fac6","4e00a0122ce64db5287869cb97388c3b1b8b746f","2013-12-24 15:09:29 +0100","2013-12-24 15:09:29 +0100","2013-12-13 15:15:06 +0100","2013-12-13 15:15:06 +0100","2013-12-20 19:23:16 +0100","2013-12-20 19:23:16 +0100","2013-12-20 19:23:16 +0100","2013-12-20 19:23:16 +0100",27,2280,174,17,507,443,20,1,5,4,2,1
"3bd91a2f7968cb182d005a3b45879261297b4495","ambari","358a58871745fb65e93f1e968c03141ee9c6368a","56f838b5b0a5681dffb703f503fcf443cb3b6dbd","f516b6c5ad384ceb52181bee6b1553089563182e","2017-04-19 11:04:49 -0400","2017-04-19 11:04:49 -0400","2017-04-12 17:35:29 -0700","2017-04-17 11:47:26 -0700","2017-04-17 17:19:45 -0400","2017-04-18 14:13:21 -0400","2017-04-17 17:19:45 -0400","2017-04-18 14:13:21 -0400",43,1218,457,63,372,255,53,2,5,4,1,1
"c70f8cc7a6a6b3de4cba3354b78c16b54b419fdc","lucene-solr","24e41ab20a6bb7082d5d02bb1ef8ff21295bd66d","cf8ac7866a4110f827c33aaa05c8cd771de33e64","c9c569476544283264b8d88931486579113fdda5","2011-02-09 09:35:27 +0000","2011-02-09 09:35:27 +0000","2011-01-05 16:07:26 +0000","2011-01-05 16:07:26 +0000","2011-02-09 08:24:19 +0000","2011-02-09 08:24:19 +0000","2011-02-09 08:24:19 +0000","2011-02-09 08:24:19 +0000",80,7543,93,1224,37397,17436,36,1,252,15,13,1
"5beaaedcebdd08f17a9a4cc169178b9c4af5f567","geode","bef0c1becf5f8c8f838500837515883f4f9a7bcd","8780b5c4ec48423479ad2f8c7bd181a80d79ba17","110a5b449f9f200380ac56df6c66553d7ac3673d","2016-02-19 11:31:08 -0800","2016-02-19 11:39:33 -0800","2016-02-16 08:05:45 -0800","2016-02-16 08:05:45 -0800","2016-02-18 10:59:25 -0800","2016-02-18 10:59:25 -0800","2016-02-18 10:59:25 -0800","2016-02-18 10:59:25 -0800",6445,10245,10251,437,21164,27402,2,2,42,13,29,1
"2d88332e9dc6bac3ca4976ac327a94c0b3b4b1a2","lucene-solr","26c79531b0eabeb0b7a1ab0dfa39a2318f8ee631","c62763cf824aba1e43b0ddc028f5ffc098006a8a","ffca35739790d0f05b7b2035fbe41bb80ebafb13","2014-03-11 19:03:45 +0000","2014-03-11 19:03:45 +0000","2014-03-07 18:01:52 +0000","2014-03-07 18:01:52 +0000","2014-03-11 10:47:53 +0000","2014-03-11 10:47:53 +0000","2014-03-11 10:47:53 +0000","2014-03-11 10:47:53 +0000",58,1134,739,53,1044,152,12,1,16,8,1,1
"648e56cb670e910a46f36950c5d805b463f10f7c","cordova-android","e766188689dde13a1717f0a5d1e9f5bf482363e0","029ddeade0a27e1d0feac2d5b79073f18218a7e0","307f9d1871bc1884b6499239f1adc3fd4f363fc0","2011-07-21 13:15:52 -0700","2011-07-21 13:15:52 -0700","2011-03-11 16:14:47 -0500","2011-04-01 15:52:53 -0400","2011-07-20 23:17:52 +0800","2011-07-20 23:21:34 +0800","2011-07-20 23:17:52 +0800","2011-07-20 23:21:34 +0800",53,2413,2567,4,50,3,159,12,1,1,1,1
"0e93b4a4df037139514f2cc9f423710a4deb2c02","fineract","e60c4ec40dc168f8dfd374c1d9d90fc7f9475eab","52d140bb1750494fa1bbf46fbed3b41ff0fa0e51","ece7c9a60095af1c6389f229f037029ebaf2d64d","2014-05-04 18:02:59 +0530","2014-05-04 18:02:59 +0530","2014-04-15 18:58:00 -0700","2014-04-15 18:58:00 -0700","2014-05-04 14:27:09 +0530","2014-05-04 14:27:09 +0530","2014-05-04 14:27:09 +0530","2014-05-04 14:27:09 +0530",136,20077,9274,24,567,145,50,7,1,1,2,1
"15db7de466dab08e65b3e19301bd324f7318c935","phoenix","3df8a827510e51c04b54306ff344c3e4fb5c29e7","df3fc63a28a65ad63fbf956a835b1355190c8c5d","b44ad86aa88cd620fc19d9746eea6d0272b1345c","2014-03-06 13:50:59 -0800","2014-03-06 13:50:59 -0800","2014-03-05 00:49:27 -0500","2014-03-05 00:49:27 -0500","2014-03-05 17:11:53 -0800","2014-03-05 17:11:53 -0800","2014-03-05 17:11:53 -0800","2014-03-05 17:11:53 -0800",143,20353,2222,48,976,699,23,2,13,4,12,1
"322578724aac0b5d7a60e85313471e1046c766ba","groovy","ed77845e1d44dd318630304bdf3f40d0e3acabe1","9057be382a9c9e34cefa570b9c8ea617e9f1806d","42186ec2070775b05f4925182b1885eb87030d96","2012-03-31 08:56:00 +1000","2012-03-31 08:56:00 +1000","2012-03-30 20:53:27 +1000","2012-03-30 20:54:45 +1000","2012-03-30 20:55:50 +1000","2012-03-30 20:55:50 +1000","2012-03-30 20:55:50 +1000","2012-03-30 20:55:50 +1000",612,19285,16952,118,3999,2932,67,3,97,3,3,1
