ID Project Merges Conflicted Induced_merges BFC BIC Commits
1 accumulo 3341 1047 25 1126 775 10166
2 activemq 110 2 0 1734 1646 10225
3 ambari 499 66 6 12227 7051 24580
4 avro 47 3 0 521 302 2038
5 beam 7365 43 2 986 2152 22486
6 calcite 28 1 0 972 1240 3503
7 camel 214 16 1 2704 3404 38634
8 cassandra 9917 4023 137 3638 3306 24673
9 commons-lang 33 11 0 239 500 5479
10 cordova-android 545 118 3 402 513 3774
11 cxf 289 7 0 2230 1456 15104
12 eagle 65 3 0 171 233 1048
13 fineract 1299 76 2 138 417 5036
14 flink 684 170 1 974 1656 17764
15 geode 404 73 9 1528 1451 8131
16 groovy 773 99 8 1997 2871 16129
17 hive 327 159 8 3306 3580 13625
18 ignite 3318 416 9 2086 2885 26174
19 james-project 265 1 0 270 508 7462
20 jena 630 32 4 391 336 7963
21 kafka 42 16 0 333 701 6451
22 karaf 659 7 0 609 577 7761
23 kylin 794 102 9 756 998 7859
24 lucene-solr 625 134 11 1640 3248 32156
25 mahout 60 10 2 423 626 4116
26 maven 36 6 1 667 1331 10545
27 netbeans 798 28 0 218 70 2813
28 nifi 363 30 3 1447 896 5197
29 nutch 255 16 0 466 315 2916
30 ofbiz 132 30 0 1783 1151 24428
31 parquet-mr 370 47 1 159 151 2095
32 phoenix 63 6 2 910 624 2917
33 servicecomb-java-chassis 42 3 0 133 168 2258
34 spark 1641 231 8 1802 2382 25522
35 storm 2679 239 14 339 581 10071
36 struts 351 34 0 767 608 5667
37 tika 213 23 0 492 611 4531
38 wicket 156 17 0 2015 1440 20608
39 zeppelin 287 29 1 670 858 4146
